,X,Y,Z
427,0.11,0.83,-0.06
428,0.11,0.86,-0.06
429,0.11,0.86,-0.06
430,0.14,0.86,-0.07
431,0.19,0.83,0.03
432,0.21,0.83,0.07
433,0.22,0.83,-0.02
434,0.14,0.86,-0.07
435,0.09,0.83,-0.06
436,0.09,0.8,-0.06
437,0.11,0.83,-0.04
438,0.16,0.89,-0.02
439,0.22,0.86,0.0
440,0.18,0.78,0.1
441,0.1,0.75,0.08
442,0.08,0.75,0.06
443,0.08,0.75,0.03
444,0.03,0.8,0.04
445,0.03,0.78,-0.01
446,0.1,0.72,0.08
447,0.16,0.75,0.1
448,0.15,0.78,0.15
449,0.13,0.75,0.05
450,0.13,0.75,0.05
451,0.02,0.69,0.09
452,0.05,0.72,0.04
453,0.05,0.78,0.04
454,0.08,0.75,0.03
455,0.13,0.72,0.08
456,0.18,0.75,0.12
457,0.18,0.72,0.12
458,0.13,0.75,0.08
459,0.06,0.72,-0.01
460,0.03,0.72,0.01
461,0.03,0.69,0.04
462,0.08,0.72,0.06
463,0.16,0.78,0.08
464,0.15,0.72,0.12
465,0.16,0.69,0.08
466,0.13,0.72,0.1
467,0.05,0.72,0.06
468,0.05,0.75,0.04
469,0.03,0.72,-0.01
470,0.03,0.66,-0.04
471,0.05,0.63,0.06
472,0.11,0.66,0.06
473,0.11,0.66,0.03
474,0.08,0.66,0.01
475,0.0,0.61,0.01
476,0.01,0.66,-0.03
477,0.0,0.72,-0.01
478,0.03,0.66,-0.01
479,0.03,0.66,-0.01
480,0.03,0.66,-0.01
481,0.11,0.63,0.03
482,0.08,0.66,0.03
483,0.03,0.66,-0.04
484,-0.02,0.63,-0.08
485,-0.04,0.61,-0.05
486,-0.02,0.66,0.02
487,0.08,0.66,0.03
488,0.08,0.63,0.06
489,0.11,0.61,0.03
490,0.08,0.61,0.01
491,0.03,0.63,-0.01
492,0.03,0.66,-0.01
493,-0.02,0.66,-0.06
494,-0.04,0.63,-0.08
495,0.06,0.61,0.01
496,0.11,0.63,0.03
497,0.1,0.66,0.1
498,0.08,0.63,0.01
499,0.01,0.61,-0.01
500,0.01,0.58,-0.03
501,0.01,0.58,-0.01
502,0.03,0.58,0.01
503,0.08,0.58,0.01
504,0.11,0.61,0.06
505,0.13,0.61,0.08
506,0.11,0.61,0.06
507,0.03,0.61,0.01
508,0.01,0.61,-0.03
509,-0.02,0.55,-0.08
510,-0.02,0.55,-0.08
511,0.08,0.61,0.03
512,0.1,0.63,0.1
513,0.08,0.63,0.08
514,0.08,0.52,0.03
515,0.03,0.55,0.01
516,0.0,0.58,0.04
517,0.01,0.63,-0.06
518,0.01,0.55,-0.03
519,0.03,0.55,0.01
520,0.08,0.55,0.08
521,0.13,0.61,0.1
522,0.13,0.61,0.08
523,0.06,0.55,-0.01
524,0.01,0.52,-0.01
525,0.0,0.55,0.04
526,0.0,0.61,0.04
527,0.08,0.58,0.01
528,0.08,0.55,0.08
529,0.08,0.52,0.08
530,0.1,0.58,0.15
531,0.11,0.52,0.08
532,0.03,0.55,0.06
533,0.0,0.52,0.04
534,0.0,0.49,0.06
535,0.08,0.52,0.1
536,0.12,0.55,0.2
537,0.12,0.46,0.22
538,0.12,0.58,0.17
539,0.08,0.52,0.1
540,0.08,0.52,0.1
541,0.05,0.52,0.08
542,0.03,0.52,0.01
543,0.08,0.46,0.1
544,0.07,0.49,0.15
545,0.15,0.52,0.2
546,0.13,0.52,0.17
547,0.1,0.49,0.1
548,0.03,0.49,0.06
549,0.0,0.46,0.06
550,-0.0,0.52,0.09
551,0.05,0.58,0.13
552,0.08,0.52,0.13
553,0.07,0.49,0.18
554,0.1,0.52,0.15
555,0.08,0.52,0.1
556,0.02,0.58,0.11
557,0.0,0.52,0.06
558,-0.05,0.49,0.04
559,0.03,0.49,0.08
560,0.08,0.46,0.03
561,0.08,0.46,0.06
562,0.11,0.46,0.01
563,0.06,0.41,-0.01
564,-0.02,0.44,-0.03
565,-0.02,0.46,-0.08
566,-0.02,0.46,-0.08
567,-0.02,0.46,-0.08
568,0.01,0.41,-0.01
569,0.08,0.46,0.06
570,0.08,0.46,0.06
571,0.08,0.46,0.01
572,-0.02,0.43,-0.08
573,-0.07,0.44,-0.08
574,-0.05,0.46,0.02
575,0.03,0.49,0.01
576,0.06,0.49,-0.01
577,0.06,0.46,0.03
578,0.06,0.49,0.01
579,0.06,0.44,0.03
580,0.03,0.44,0.01
581,-0.02,0.44,-0.01
582,-0.04,0.43,-0.08
583,-0.04,0.41,-0.06
584,0.01,0.46,-0.01
585,0.08,0.46,0.03
586,0.11,0.43,0.05
587,0.06,0.43,-0.01
588,0.01,0.41,-0.01
589,-0.02,0.41,-0.03
590,-0.01,0.46,-0.11
591,-0.07,0.41,-0.1
592,-0.01,0.41,-0.13
593,0.07,0.35,-0.09
594,0.06,0.38,-0.01
595,0.04,0.38,-0.04
596,0.01,0.38,-0.08
597,-0.04,0.38,-0.1
598,-0.06,0.38,-0.17
599,-0.06,0.38,-0.15
600,-0.06,0.38,-0.15
601,0.06,0.38,-0.06
602,0.04,0.35,-0.04
603,0.04,0.38,-0.09
604,0.04,0.38,-0.09
605,-0.04,0.43,-0.13
606,-0.06,0.41,-0.15
607,-0.06,0.38,-0.15
608,0.04,0.38,-0.09
609,0.04,0.38,-0.06
610,0.06,0.38,-0.04
611,0.04,0.38,-0.11
612,0.01,0.38,-0.08
613,-0.01,0.41,-0.13
614,-0.07,0.46,-0.13
615,-0.01,0.46,-0.13
616,-0.04,0.41,-0.13
617,0.01,0.38,-0.08
618,0.03,0.38,-0.01
619,0.07,0.41,-0.09
620,0.0,0.35,0.06
621,-0.03,0.32,0.09
622,-0.02,0.27,0.04
623,-0.05,0.32,0.09
624,-0.0,0.35,0.09
625,0.08,0.38,0.13
626,0.1,0.32,0.13
627,0.08,0.29,0.13
628,0.1,0.29,0.13
629,-0.0,0.35,0.11
630,-0.0,0.35,0.11
631,-0.05,0.38,0.02
632,-0.03,0.38,0.06
633,0.02,0.38,0.11
634,0.08,0.41,0.13
635,0.07,0.41,0.18
636,0.05,0.38,0.13
637,-0.03,0.35,0.11
638,0.0,0.38,0.04
639,-0.0,0.35,0.09
640,-0.05,0.35,0.06
641,0.05,0.35,0.08
642,0.05,0.35,0.13
643,0.1,0.35,0.2
644,0.08,0.38,0.13
645,0.05,0.38,0.13
646,-0.03,0.38,0.06
647,-0.08,0.38,0.07
648,0.0,0.41,0.06
649,0.03,0.41,0.08
650,0.09,0.38,-0.02
651,0.09,0.29,-0.02
652,0.09,0.26,-0.04
653,0.06,0.29,-0.02
654,0.04,0.32,-0.04
655,-0.04,0.32,-0.1
656,-0.04,0.29,-0.1
657,0.04,0.29,-0.11
658,0.06,0.35,0.03
659,0.11,0.32,0.03
660,0.09,0.32,-0.02
661,0.06,0.26,-0.04
662,-0.02,0.29,-0.06
663,-0.01,0.32,-0.08
664,0.01,0.32,-0.11
665,0.01,0.29,-0.06
666,0.03,0.26,-0.01
667,0.11,0.26,-0.02
668,0.11,0.26,0.01
669,0.11,0.29,-0.02
670,-0.02,0.32,-0.06
671,-0.04,0.26,-0.13
672,-0.01,0.24,-0.08
673,0.01,0.35,-0.08
674,0.06,0.29,-0.06
675,0.06,0.29,0.01
676,0.09,0.29,-0.04
677,0.09,0.32,-0.02
678,0.04,0.35,-0.04
679,-0.02,0.32,-0.06
680,-0.04,0.26,-0.13
681,-0.09,0.26,-0.13
682,-0.02,0.24,-0.06
683,0.01,0.26,0.01
684,0.04,0.24,-0.04
685,0.04,0.24,-0.09
686,-0.04,0.21,-0.1
687,-0.09,0.21,-0.1
688,-0.06,0.26,-0.13
689,-0.06,0.26,-0.15
690,0.04,0.24,-0.13
691,-0.02,0.24,-0.03
692,0.03,0.21,0.01
693,0.04,0.24,-0.04
694,0.01,0.24,-0.11
695,-0.06,0.24,-0.15
696,-0.09,0.24,-0.17
697,-0.09,0.26,-0.08
698,0.01,0.26,-0.08
699,0.04,0.24,-0.06
700,0.03,0.21,-0.01
701,0.04,0.24,-0.04
702,0.04,0.24,-0.06
703,-0.07,0.26,-0.08
704,-0.09,0.26,-0.13
705,-0.06,0.21,-0.13
706,-0.01,0.21,-0.11
707,0.01,0.24,-0.04
708,0.06,0.26,0.01
709,0.01,0.21,-0.01
710,0.0,0.18,0.06
711,-0.02,0.18,0.06
712,-0.05,0.21,0.06
713,-0.05,0.21,0.06
714,-0.03,0.21,0.09
715,-0.0,0.18,0.11
716,0.08,0.24,0.15
717,0.07,0.24,0.18
718,0.05,0.21,0.15
719,-0.05,0.27,0.09
720,-0.05,0.21,0.02
721,-0.05,0.18,0.02
722,-0.05,0.21,0.11
723,0.0,0.27,0.08
724,0.0,0.27,0.08
725,0.05,0.18,0.13
726,0.05,0.18,0.13
727,0.05,0.18,0.13
728,-0.03,0.21,0.09
729,-0.05,0.18,0.02
730,-0.05,0.21,0.06
731,0.03,0.18,0.11
732,0.05,0.21,0.18
733,0.1,0.21,0.15
734,0.05,0.21,0.08
735,-0.0,0.18,0.13
736,-0.05,0.15,0.02
737,-0.05,0.18,-0.01
738,-0.02,0.18,-0.06
739,0.04,0.18,-0.06
740,0.04,0.12,-0.04
741,0.04,0.12,-0.04
742,0.09,0.15,0.01
743,0.06,0.15,-0.06
744,0.06,0.15,-0.06
745,-0.04,0.12,-0.06
746,-0.07,0.18,-0.08
747,0.01,0.21,-0.01
748,0.06,0.21,-0.04
749,0.08,0.18,0.03
750,0.08,0.15,0.03
751,0.09,0.15,0.01
752,0.03,0.21,-0.01
753,-0.04,0.15,-0.06
754,-0.04,0.15,-0.08
755,0.01,0.21,-0.06
756,0.03,0.18,-0.01
757,0.03,0.18,-0.01
758,0.08,0.15,0.05
759,0.06,0.15,-0.02
760,0.06,0.12,-0.04
761,0.04,0.21,-0.06
762,0.01,0.18,-0.06
763,0.01,0.18,-0.06
764,0.01,0.18,-0.06
765,0.09,0.15,0.01
766,0.09,0.15,0.01
767,0.04,0.18,-0.04
768,0.04,0.15,-0.09
769,-0.04,0.12,-0.11
770,-0.04,0.12,-0.11
771,-0.02,0.21,-0.06
772,0.01,0.15,-0.08
