Bx,By,Bz
1.219206039834616284e+01,-2.830507390411397317e+00,-2.475058378104125012e+01
1.217794858071738062e+01,-2.842836276742104040e+00,-2.474390355275437514e+01
1.216394931967606929e+01,-2.855227839030411552e+00,-2.473723088044485863e+01
1.215006244255484624e+01,-2.867682063951376925e+00,-2.473056663344270234e+01
1.213628777065495790e+01,-2.880198935039857577e+00,-2.472391167970454617e+01
1.212262512384352853e+01,-2.892778434983772851e+00,-2.471726688587634513e+01
1.210907431860399974e+01,-2.905420544653716686e+00,-2.471063311723657208e+01
1.209563516606699807e+01,-2.918125242064736113e+00,-2.470401123758393425e+01
1.208230747663579763e+01,-2.930892504768316531e+00,-2.469740210938023850e+01
1.206909105472060695e+01,-2.943722307099339908e+00,-2.469080659351039841e+01
1.205598570337395437e+01,-2.956614622602059761e+00,-2.468422554945402325e+01
1.204299122232553643e+01,-2.969569423003519226e+00,-2.467765983518278006e+01
1.203010740599832573e+01,-2.982586677118900020e+00,-2.467111030700097984e+01
1.201733404817175455e+01,-2.995666353376173152e+00,-2.466457781979998742e+01
1.200467093667480434e+01,-3.008808416912126749e+00,-2.465806322669149608e+01
1.199211785805841757e+01,-3.022012832131145466e+00,-2.465156737929145336e+01
1.197967459561558279e+01,-3.035279561622056033e+00,-2.464509112757071208e+01
1.196734092738324939e+01,-3.048608565007671967e+00,-2.463863531964624443e+01
1.195511663084087317e+01,-3.061999801601444027e+00,-2.463220080215126018e+01
1.194300147756466934e+01,-3.075453227353821539e+00,-2.462578841973705224e+01
1.193099523793542183e+01,-3.088968797542495093e+00,-2.461939901547340881e+01
1.191909767914410345e+01,-3.102546465633560846e+00,-2.461303343065065263e+01
1.190730856318020159e+01,-3.116186182075319167e+00,-2.460669250452019341e+01
1.189562765156492574e+01,-3.129887897085933623e+00,-2.460037707478406332e+01
1.188405469996781960e+01,-3.143651557450802603e+00,-2.459408797696119109e+01
1.187258946294834061e+01,-3.157477109343904687e+00,-2.458782604490808055e+01
1.186123169194819837e+01,-3.171364497133120075e+00,-2.458159211057062521e+01
